 frequency       HctmagdB        HscmagdB       
 5.70164272e+01 -1.40954631e-02 -1.49795655e-02 
 5.75439937e+01 -1.43570846e-02 -1.52575674e-02 
 5.80764418e+01 -1.46235538e-02 -1.55407196e-02 
 5.86138165e+01 -1.48949603e-02 -1.58291169e-02 
 5.91561634e+01 -1.51713952e-02 -1.61228562e-02 
 5.97035287e+01 -1.54529513e-02 -1.64220361e-02 
 6.02559586e+01 -1.57397231e-02 -1.67267570e-02 
 6.08135001e+01 -1.60318069e-02 -1.70371211e-02 
 6.13762005e+01 -1.63293008e-02 -1.73532324e-02 
 6.19441075e+01 -1.66323046e-02 -1.76751971e-02 
 6.25172693e+01 -1.69409199e-02 -1.80031230e-02 
 6.30957344e+01 -1.72552503e-02 -1.83371199e-02 
 6.36795521e+01 -1.75754011e-02 -1.86773000e-02 
 6.42687717e+01 -1.79014797e-02 -1.90237770e-02 
 6.48634434e+01 -1.82335954e-02 -1.93766671e-02 
 6.54636174e+01 -1.85718594e-02 -1.97360884e-02 
 6.60693448e+01 -1.89163852e-02 -2.01021613e-02 
 6.66806769e+01 -1.92672881e-02 -2.04750082e-02 
 6.72976656e+01 -1.96246856e-02 -2.08547540e-02 
 6.79203633e+01 -1.99886974e-02 -2.12415256e-02 
 6.85488226e+01 -2.03594453e-02 -2.16354524e-02 
 6.91830971e+01 -2.07370534e-02 -2.20366660e-02 
 6.98232404e+01 -2.11216480e-02 -2.24453007e-02 
 7.04693069e+01 -2.15133578e-02 -2.28614929e-02 
 7.11213514e+01 -2.19123136e-02 -2.32853817e-02 
 7.17794291e+01 -2.23186489e-02 -2.37171086e-02 
 7.24435960e+01 -2.27324995e-02 -2.41568177e-02 
 7.31139083e+01 -2.31540036e-02 -2.46046559e-02 
 7.37904230e+01 -2.35833020e-02 -2.50607725e-02 
 7.44731974e+01 -2.40205380e-02 -2.55253197e-02 
 7.51622894e+01 -2.44658576e-02 -2.59984523e-02 
 7.58577575e+01 -2.49194094e-02 -2.64803281e-02 
 7.65596607e+01 -2.53813446e-02 -2.69711076e-02 
 7.72680585e+01 -2.58518174e-02 -2.74709544e-02 
 7.79830111e+01 -2.63309845e-02 -2.79800349e-02 
 7.87045790e+01 -2.68190056e-02 -2.84985184e-02 
 7.94328235e+01 -2.73160433e-02 -2.90265777e-02 
 8.01678063e+01 -2.78222632e-02 -2.95643882e-02 
 8.09095899e+01 -2.83378338e-02 -3.01121289e-02 
 8.16582371e+01 -2.88629267e-02 -3.06699818e-02 
 8.24138115e+01 -2.93977164e-02 -3.12381323e-02 
 8.31763771e+01 -2.99423810e-02 -3.18167690e-02 
 8.39459987e+01 -3.04971014e-02 -3.24060841e-02 
 8.47227414e+01 -3.10620620e-02 -3.30062731e-02 
 8.55066713e+01 -3.16374505e-02 -3.36175351e-02 
 8.62978548e+01 -3.22234579e-02 -3.42400729e-02 
 8.70963590e+01 -3.28202786e-02 -3.48740927e-02 
 8.79022517e+01 -3.34281109e-02 -3.55198046e-02 
 8.87156012e+01 -3.40471561e-02 -3.61774225e-02 
 8.95364766e+01 -3.46776195e-02 -3.68471640e-02 
 9.03649474e+01 -3.53197100e-02 -3.75292506e-02 
 9.12010839e+01 -3.59736403e-02 -3.82239080e-02 
 9.20449572e+01 -3.66396268e-02 -3.89313658e-02 
 9.28966387e+01 -3.73178900e-02 -3.96518577e-02 
 9.37562007e+01 -3.80086542e-02 -4.03856216e-02 
 9.46237161e+01 -3.87121477e-02 -4.11328996e-02 
 9.54992586e+01 -3.94286030e-02 -4.18939383e-02 
 9.63829024e+01 -4.01582567e-02 -4.26689887e-02 
 9.72747224e+01 -4.09013496e-02 -4.34583060e-02 
 9.81747943e+01 -4.16581270e-02 -4.42621503e-02 
 9.90831945e+01 -4.24288384e-02 -4.50807862e-02 
 1.00000000e+02 -4.32137378e-02 -4.59144829e-02 
 1.00925289e+02 -4.40130838e-02 -4.67635146e-02 
 1.01859139e+02 -4.48271395e-02 -4.76281603e-02 
 1.02801630e+02 -4.56561727e-02 -4.85087038e-02 
 1.03752842e+02 -4.65004562e-02 -4.94054343e-02 
 1.04712855e+02 -4.73602674e-02 -5.03186458e-02 
 1.05681751e+02 -4.82358887e-02 -5.12486377e-02 
 1.06659612e+02 -4.91276076e-02 -5.21957146e-02 
 1.07646521e+02 -5.00357165e-02 -5.31601866e-02 
 1.08642562e+02 -5.09605133e-02 -5.41423692e-02 
 1.09647820e+02 -5.19023010e-02 -5.51425834e-02 
 1.10662378e+02 -5.28613878e-02 -5.61611561e-02 
 1.11686325e+02 -5.38380878e-02 -5.71984198e-02 
 1.12719746e+02 -5.48327201e-02 -5.82547129e-02 
 1.13762729e+02 -5.58456099e-02 -5.93303797e-02 
 1.14815362e+02 -5.68770880e-02 -6.04257706e-02 
 1.15877736e+02 -5.79274909e-02 -6.15412423e-02 
 1.16949939e+02 -5.89971611e-02 -6.26771575e-02 
 1.18032064e+02 -6.00864471e-02 -6.38338853e-02 
