 frequency       HctmagdB        Hsc1magdB       Hsc2magdB       Hsc3magdB       Hsc4magdB       Hsc5magdB      
 1.76185295e+04 -2.49333616e+01 -2.45582527e+01 -2.47494884e+01 -2.47504787e+01 -2.47504809e+01 -2.47504809e+01 
 1.78187287e+04 -2.50311911e+01 -2.46419910e+01 -2.48369436e+01 -2.48379764e+01 -2.48379788e+01 -2.48379788e+01 
 1.80189279e+04 -2.51279344e+01 -2.47245064e+01 -2.49231886e+01 -2.49242653e+01 -2.49242678e+01 -2.49242678e+01 
 1.82191271e+04 -2.52236153e+01 -2.48058233e+01 -2.50082472e+01 -2.50093689e+01 -2.50093715e+01 -2.50093715e+01 
 1.84193263e+04 -2.53182568e+01 -2.48859655e+01 -2.50921421e+01 -2.50933101e+01 -2.50933129e+01 -2.50933129e+01 
 1.86195255e+04 -2.54118812e+01 -2.49649560e+01 -2.51748955e+01 -2.51761110e+01 -2.51761140e+01 -2.51761140e+01 
 1.88197247e+04 -2.55045100e+01 -2.50428171e+01 -2.52565287e+01 -2.52577931e+01 -2.52577962e+01 -2.52577962e+01 
 1.90199239e+04 -2.55961641e+01 -2.51195706e+01 -2.53370624e+01 -2.53383770e+01 -2.53383803e+01 -2.53383803e+01 
 1.92201231e+04 -2.56868638e+01 -2.51952372e+01 -2.54165168e+01 -2.54178828e+01 -2.54178864e+01 -2.54178864e+01 
 1.94203223e+04 -2.57766286e+01 -2.52698375e+01 -2.54949112e+01 -2.54963300e+01 -2.54963338e+01 -2.54963338e+01 
 1.96205215e+04 -2.58654777e+01 -2.53433912e+01 -2.55722644e+01 -2.55737374e+01 -2.55737414e+01 -2.55737414e+01 
 1.98207207e+04 -2.59534295e+01 -2.54159174e+01 -2.56485948e+01 -2.56501233e+01 -2.56501275e+01 -2.56501275e+01 
 2.00209199e+04 -2.60405018e+01 -2.54874349e+01 -2.57239201e+01 -2.57255053e+01 -2.57255099e+01 -2.57255099e+01 
 2.02211191e+04 -2.61267120e+01 -2.55579618e+01 -2.57982573e+01 -2.57999008e+01 -2.57999056e+01 -2.57999056e+01 
 2.04213183e+04 -2.62120770e+01 -2.56275157e+01 -2.58716232e+01 -2.58733263e+01 -2.58733313e+01 -2.58733313e+01 
 2.06215175e+04 -2.62966132e+01 -2.56961137e+01 -2.59440339e+01 -2.59457980e+01 -2.59458033e+01 -2.59458033e+01 
 2.08217167e+04 -2.63803364e+01 -2.57637724e+01 -2.60155051e+01 -2.60173316e+01 -2.60173372e+01 -2.60173372e+01 
 2.10219159e+04 -2.64632622e+01 -2.58305082e+01 -2.60860521e+01 -2.60879424e+01 -2.60879483e+01 -2.60879483e+01 
 2.12221151e+04 -2.65454055e+01 -2.58963368e+01 -2.61556897e+01 -2.61576451e+01 -2.61576514e+01 -2.61576514e+01 
