 frequency       HctmagdB        HscmagdB       
 2.02210180e+04 -2.61266687e+01 -2.57998682e+01 
 2.03211171e+04 -2.61694558e+01 -2.58367014e+01 
 2.04212162e+04 -2.62120337e+01 -2.58732941e+01 
 2.05213153e+04 -2.62544044e+01 -2.59096484e+01 
 2.06214144e+04 -2.62965699e+01 -2.59457662e+01 
 2.07215135e+04 -2.63385321e+01 -2.59816495e+01 
 2.08216126e+04 -2.63802931e+01 -2.60173003e+01 
 2.09217117e+04 -2.64218547e+01 -2.60527203e+01 
 2.10218108e+04 -2.64632189e+01 -2.60879115e+01 
 2.11219099e+04 -2.65043874e+01 -2.61228757e+01 
 2.12220090e+04 -2.65453622e+01 -2.61576147e+01 
 2.13221081e+04 -2.65861450e+01 -2.61921303e+01 
 2.14222072e+04 -2.66267376e+01 -2.62264243e+01 
 2.15223063e+04 -2.66671418e+01 -2.62604984e+01 
 2.16224054e+04 -2.67073594e+01 -2.62943543e+01 
 2.17225045e+04 -2.67473919e+01 -2.63279936e+01 
 2.18226036e+04 -2.67872412e+01 -2.63614182e+01 
 2.19227027e+04 -2.68269089e+01 -2.63946295e+01 
 2.20228018e+04 -2.68663966e+01 -2.64276292e+01 
 2.21229009e+04 -2.69057060e+01 -2.64604190e+01 
 2.22230000e+04 -2.69448387e+01 -2.64930003e+01 
 2.23230991e+04 -2.69837962e+01 -2.65253747e+01 
 2.24231982e+04 -2.70225801e+01 -2.65575438e+01 
 2.25232973e+04 -2.70611919e+01 -2.65895091e+01 
 2.26233964e+04 -2.70996332e+01 -2.66212721e+01 
 2.27234955e+04 -2.71379054e+01 -2.66528341e+01 
 2.28235946e+04 -2.71760100e+01 -2.66841968e+01 
 2.29236937e+04 -2.72139486e+01 -2.67153614e+01 
 2.30237928e+04 -2.72517224e+01 -2.67463294e+01 
 2.31238919e+04 -2.72893330e+01 -2.67771023e+01 
 2.32239910e+04 -2.73267818e+01 -2.68076813e+01 
 2.33240901e+04 -2.73640700e+01 -2.68380678e+01 
 2.34241892e+04 -2.74011992e+01 -2.68682633e+01 
 2.35242883e+04 -2.74381706e+01 -2.68982688e+01 
 2.36243874e+04 -2.74749856e+01 -2.69280859e+01 
 2.37244865e+04 -2.75116455e+01 -2.69577158e+01 
 2.38245856e+04 -2.75481516e+01 -2.69871597e+01 
 2.39246847e+04 -2.75845052e+01 -2.70164188e+01 
 2.40247838e+04 -2.76207075e+01 -2.70454946e+01 
 2.41248829e+04 -2.76567598e+01 -2.70743880e+01 
 2.42249820e+04 -2.76926634e+01 -2.71031004e+01 
 2.43250811e+04 -2.77284194e+01 -2.71316329e+01 
 2.44251802e+04 -2.77640290e+01 -2.71599868e+01 
 2.45252793e+04 -2.77994936e+01 -2.71881631e+01 
 2.46253784e+04 -2.78348141e+01 -2.72161630e+01 
 2.47254775e+04 -2.78699918e+01 -2.72439876e+01 
 2.48255766e+04 -2.79050279e+01 -2.72716382e+01 
 2.49256757e+04 -2.79399234e+01 -2.72991156e+01 
 2.50257748e+04 -2.79746795e+01 -2.73264212e+01 
 2.51258739e+04 -2.80092973e+01 -2.73535558e+01 
 2.52259730e+04 -2.80437779e+01 -2.73805206e+01 
 2.53260721e+04 -2.80781224e+01 -2.74073166e+01 
 2.54261712e+04 -2.81123319e+01 -2.74339449e+01 
 2.55262703e+04 -2.81464073e+01 -2.74604065e+01 
 2.56263694e+04 -2.81803498e+01 -2.74867024e+01 
 2.57264685e+04 -2.82141603e+01 -2.75128335e+01 
 2.58265676e+04 -2.82478400e+01 -2.75388010e+01 
 2.59266667e+04 -2.82813897e+01 -2.75646056e+01 
 2.60267658e+04 -2.83148106e+01 -2.75902485e+01 
 2.61268649e+04 -2.83481036e+01 -2.76157306e+01 
 2.62269640e+04 -2.83812696e+01 -2.76410527e+01 
 2.63270631e+04 -2.84143096e+01 -2.76662158e+01 
 2.64271622e+04 -2.84472246e+01 -2.76912209e+01 
 2.65272613e+04 -2.84800155e+01 -2.77160688e+01 
 2.66273604e+04 -2.85126833e+01 -2.77407605e+01 
 2.67274595e+04 -2.85452289e+01 -2.77652967e+01 
 2.68275586e+04 -2.85776531e+01 -2.77896785e+01 
 2.69276577e+04 -2.86099569e+01 -2.78139066e+01 
 2.70277568e+04 -2.86421411e+01 -2.78379819e+01 
 2.71278559e+04 -2.86742068e+01 -2.78619052e+01 
 2.72279550e+04 -2.87061546e+01 -2.78856775e+01 
 2.73280541e+04 -2.87379855e+01 -2.79092994e+01 
 2.74281532e+04 -2.87697003e+01 -2.79327718e+01 
 2.75282523e+04 -2.88013000e+01 -2.79560956e+01 
 2.76283514e+04 -2.88327852e+01 -2.79792714e+01 
 2.77284505e+04 -2.88641568e+01 -2.80023002e+01 
 2.78285495e+04 -2.88954157e+01 -2.80251826e+01 
 2.79286486e+04 -2.89265627e+01 -2.80479194e+01 
 2.80287477e+04 -2.89575985e+01 -2.80705115e+01 
 2.81288468e+04 -2.89885239e+01 -2.80929594e+01 
 2.82289459e+04 -2.90193398e+01 -2.81152641e+01 
 2.83290450e+04 -2.90500469e+01 -2.81374262e+01 
 2.84291441e+04 -2.90806459e+01 -2.81594464e+01 
 2.85292432e+04 -2.91111376e+01 -2.81813254e+01 
 2.86293423e+04 -2.91415228e+01 -2.82030641e+01 
 2.87294414e+04 -2.91718022e+01 -2.82246629e+01 
 2.88295405e+04 -2.92019766e+01 -2.82461228e+01 
 2.89296396e+04 -2.92320466e+01 -2.82674442e+01 
 2.90297387e+04 -2.92620129e+01 -2.82886280e+01 
 2.91298378e+04 -2.92918764e+01 -2.83096748e+01 
 2.92299369e+04 -2.93216377e+01 -2.83305851e+01 
 2.93300360e+04 -2.93512975e+01 -2.83513598e+01 
