 frequency       Hph1magdB       Hph2magdB      
 1.51356125e+03 -5.26658329e+00 -5.26658329e+00 
 1.54881662e+03 -5.40802961e+00 -5.40802961e+00 
 1.58489319e+03 -5.55136199e+00 -5.55136199e+00 
 1.62181010e+03 -5.69654301e+00 -5.69654301e+00 
 1.65958691e+03 -5.84353446e+00 -5.84353446e+00 
 1.69824365e+03 -5.99229741e+00 -5.99229741e+00 
 1.73780083e+03 -6.14279235e+00 -6.14279235e+00 
 1.77827941e+03 -6.29497929e+00 -6.29497929e+00 
 1.81970086e+03 -6.44881785e+00 -6.44881785e+00 
 1.86208714e+03 -6.60426738e+00 -6.60426738e+00 
 1.90546072e+03 -6.76128706e+00 -6.76128706e+00 
 1.94984460e+03 -6.91983596e+00 -6.91983596e+00 
 1.99526231e+03 -7.07987316e+00 -7.07987316e+00 
 2.04173794e+03 -7.24135784e+00 -7.24135784e+00 
 2.08929613e+03 -7.40424931e+00 -7.40424931e+00 
 2.13796209e+03 -7.56850714e+00 -7.56850714e+00 
 2.18776162e+03 -7.73409119e+00 -7.73409119e+00 
 2.23872114e+03 -7.90096171e+00 -7.90096171e+00 
 2.29086765e+03 -8.06907936e+00 -8.06907936e+00 
 2.34422882e+03 -8.23840529e+00 -8.23840529e+00 
 2.39883292e+03 -8.40890118e+00 -8.40890118e+00 
 2.45470892e+03 -8.58052927e+00 -8.58052927e+00 
 2.51188643e+03 -8.75325245e+00 -8.75325245e+00 
 2.57039578e+03 -8.92703423e+00 -8.92703423e+00 
 2.63026799e+03 -9.10183882e+00 -9.10183882e+00 
 2.69153480e+03 -9.27763114e+00 -9.27763114e+00 
 2.75422870e+03 -9.45437682e+00 -9.45437682e+00 
 2.81838293e+03 -9.63204226e+00 -9.63204226e+00 
 2.88403150e+03 -9.81059462e+00 -9.81059462e+00 
 2.95120923e+03 -9.99000185e+00 -9.99000185e+00 
 3.01995172e+03 -1.01702327e+01 -1.01702327e+01 
 3.09029543e+03 -1.03512566e+01 -1.03512566e+01 
 3.16227766e+03 -1.05330440e+01 -1.05330440e+01 
 3.23593657e+03 -1.07155660e+01 -1.07155660e+01 
 3.31131121e+03 -1.08987944e+01 -1.08987944e+01 
 3.38844156e+03 -1.10827020e+01 -1.10827020e+01 
 3.46736850e+03 -1.12672623e+01 -1.12672623e+01 
 3.54813389e+03 -1.14524495e+01 -1.14524495e+01 
 3.63078055e+03 -1.16382388e+01 -1.16382388e+01 
 3.71535229e+03 -1.18246058e+01 -1.18246058e+01 
 3.80189396e+03 -1.20115272e+01 -1.20115272e+01 
 3.89045145e+03 -1.21989802e+01 -1.21989802e+01 
 3.98107171e+03 -1.23869429e+01 -1.23869429e+01 
 4.07380278e+03 -1.25753940e+01 -1.25753940e+01 
 4.16869383e+03 -1.27643128e+01 -1.27643128e+01 
 4.26579519e+03 -1.29536795e+01 -1.29536795e+01 
 4.36515832e+03 -1.31434747e+01 -1.31434747e+01 
 4.46683592e+03 -1.33336799e+01 -1.33336799e+01 
 4.57088190e+03 -1.35242771e+01 -1.35242771e+01 
 4.67735141e+03 -1.37152487e+01 -1.37152487e+01 
 4.78630092e+03 -1.39065781e+01 -1.39065781e+01 
 4.89778819e+03 -1.40982489e+01 -1.40982489e+01 
 5.01187234e+03 -1.42902455e+01 -1.42902455e+01 
 5.12861384e+03 -1.44825526e+01 -1.44825526e+01 
 5.24807460e+03 -1.46751556e+01 -1.46751556e+01 
 5.37031796e+03 -1.48680402e+01 -1.48680402e+01 
 5.49540874e+03 -1.50611929e+01 -1.50611929e+01 
 5.62341325e+03 -1.52546002e+01 -1.52546002e+01 
 5.75439937e+03 -1.54482495e+01 -1.54482495e+01 
 5.88843655e+03 -1.56421282e+01 -1.56421282e+01 
 6.02559586e+03 -1.58362243e+01 -1.58362243e+01 
 6.16595002e+03 -1.60305262e+01 -1.60305262e+01 
 6.30957344e+03 -1.62250227e+01 -1.62250227e+01 
 6.45654229e+03 -1.64197027e+01 -1.64197027e+01 
 6.60693448e+03 -1.66145558e+01 -1.66145558e+01 
 6.76082975e+03 -1.68095715e+01 -1.68095715e+01 
 6.91830971e+03 -1.70047398e+01 -1.70047398e+01 
 7.07945784e+03 -1.72000511e+01 -1.72000511e+01 
 7.24435960e+03 -1.73954959e+01 -1.73954959e+01 
 7.41310241e+03 -1.75910649e+01 -1.75910649e+01 
 7.58577575e+03 -1.77867491e+01 -1.77867491e+01 
 7.76247117e+03 -1.79825397e+01 -1.79825397e+01 
 7.94328235e+03 -1.81784282e+01 -1.81784282e+01 
 8.12830516e+03 -1.83744060e+01 -1.83744060e+01 
 8.31763771e+03 -1.85704649e+01 -1.85704649e+01 
 8.51138038e+03 -1.87665969e+01 -1.87665969e+01 
 8.70963590e+03 -1.89627939e+01 -1.89627939e+01 
 8.91250938e+03 -1.91590481e+01 -1.91590481e+01 
 9.12010839e+03 -1.93553516e+01 -1.93553516e+01 
 9.33254301e+03 -1.95516969e+01 -1.95516969e+01 
 9.54992586e+03 -1.97480763e+01 -1.97480763e+01 
 9.77237221e+03 -1.99444823e+01 -1.99444823e+01 
 1.00000000e+04 -2.01409073e+01 -2.01409073e+01 
 1.02329299e+04 -2.03373439e+01 -2.03373439e+01 
 1.04712855e+04 -2.05337847e+01 -2.05337847e+01 
 1.07151931e+04 -2.07302221e+01 -2.07302221e+01 
 1.09647820e+04 -2.09266487e+01 -2.09266487e+01 
 1.12201845e+04 -2.11230569e+01 -2.11230569e+01 
 1.14815362e+04 -2.13194392e+01 -2.13194392e+01 
 1.17489755e+04 -2.15157880e+01 -2.15157880e+01 
 1.20226443e+04 -2.17120955e+01 -2.17120955e+01 
 1.23026877e+04 -2.19083539e+01 -2.19083539e+01 
 1.25892541e+04 -2.21045554e+01 -2.21045554e+01 
 1.28824955e+04 -2.23006918e+01 -2.23006918e+01 
 1.31825674e+04 -2.24967550e+01 -2.24967550e+01 
 1.34896288e+04 -2.26927366e+01 -2.26927366e+01 
 1.38038426e+04 -2.28886280e+01 -2.28886280e+01 
 1.41253754e+04 -2.30844206e+01 -2.30844206e+01 
 1.44543977e+04 -2.32801053e+01 -2.32801053e+01 
