 time            Vin             Vout           
 2.63331164e-06  7.90000000e-01  2.80547457e-01 
 2.63431164e-06  7.90000000e-01  2.80547487e-01 
 2.63531164e-06  7.90000000e-01  2.80547517e-01 
 2.63631164e-06  7.90000000e-01  2.80547547e-01 
 2.63731164e-06  7.90000000e-01  2.80547576e-01 
 2.63831164e-06  7.90000000e-01  2.80547606e-01 
 2.63931164e-06  7.90000000e-01  2.80547635e-01 
 2.64031164e-06  7.90000000e-01  2.80547664e-01 
 2.64131164e-06  7.90000000e-01  2.80547693e-01 
 2.64231164e-06  7.90000000e-01  2.80547722e-01 
 2.64331164e-06  7.90000000e-01  2.80547751e-01 
 2.64431164e-06  7.90000000e-01  2.80547780e-01 
 2.64531164e-06  7.90000000e-01  2.80547809e-01 
 2.64631164e-06  7.90000000e-01  2.80547837e-01 
 2.64731164e-06  7.90000000e-01  2.80547865e-01 
 2.64831164e-06  7.90000000e-01  2.80547894e-01 
 2.64931164e-06  7.90000000e-01  2.80547922e-01 
 2.65031164e-06  7.90000000e-01  2.80547950e-01 
 2.65131164e-06  7.90000000e-01  2.80547978e-01 
 2.65231164e-06  7.90000000e-01  2.80548005e-01 
 2.65331164e-06  7.90000000e-01  2.80548033e-01 
 2.65431164e-06  7.90000000e-01  2.80548060e-01 
 2.65531164e-06  7.90000000e-01  2.80548088e-01 
 2.65631164e-06  7.90000000e-01  2.80548115e-01 
 2.65731164e-06  7.90000000e-01  2.80548142e-01 
 2.65831164e-06  7.90000000e-01  2.80548169e-01 
 2.65931164e-06  7.90000000e-01  2.80548196e-01 
 2.66031164e-06  7.90000000e-01  2.80548223e-01 
 2.66131164e-06  7.90000000e-01  2.80548249e-01 
 2.66231164e-06  7.90000000e-01  2.80548276e-01 
 2.66331164e-06  7.90000000e-01  2.80548302e-01 
 2.66431164e-06  7.90000000e-01  2.80548328e-01 
 2.66531164e-06  7.90000000e-01  2.80548355e-01 
 2.66631164e-06  7.90000000e-01  2.80548380e-01 
 2.66731164e-06  7.90000000e-01  2.80548406e-01 
 2.66831164e-06  7.90000000e-01  2.80548432e-01 
 2.66931164e-06  7.90000000e-01  2.80548458e-01 
 2.67031164e-06  7.90000000e-01  2.80548483e-01 
 2.67131164e-06  7.90000000e-01  2.80548508e-01 
 2.67231164e-06  7.90000000e-01  2.80548534e-01 
 2.67331164e-06  7.90000000e-01  2.80548559e-01 
 2.67431164e-06  7.90000000e-01  2.80548584e-01 
 2.67531164e-06  7.90000000e-01  2.80548609e-01 
 2.67631164e-06  7.90000000e-01  2.80548633e-01 
 2.67731164e-06  7.90000000e-01  2.80548658e-01 
 2.67831164e-06  7.90000000e-01  2.80548682e-01 
 2.67931164e-06  7.90000000e-01  2.80548707e-01 
 2.68031164e-06  7.90000000e-01  2.80548731e-01 
 2.68131164e-06  7.90000000e-01  2.80548755e-01 
 2.68231164e-06  7.90000000e-01  2.80548779e-01 
 2.68331164e-06  7.90000000e-01  2.80548802e-01 
 2.68431164e-06  7.90000000e-01  2.80548826e-01 
 2.68531164e-06  7.90000000e-01  2.80548850e-01 
 2.68631164e-06  7.90000000e-01  2.80548873e-01 
 2.68731164e-06  7.90000000e-01  2.80548896e-01 
 2.68831164e-06  7.90000000e-01  2.80548919e-01 
 2.68931164e-06  7.90000000e-01  2.80548942e-01 
 2.69031164e-06  7.90000000e-01  2.80548965e-01 
 2.69131164e-06  7.90000000e-01  2.80548988e-01 
 2.69231164e-06  7.90000000e-01  2.80549011e-01 
 2.69331164e-06  7.90000000e-01  2.80549033e-01 
 2.69431164e-06  7.90000000e-01  2.80549056e-01 
 2.69531164e-06  7.90000000e-01  2.80549078e-01 
 2.69631164e-06  7.90000000e-01  2.80549100e-01 
 2.69731164e-06  7.90000000e-01  2.80549122e-01 
 2.69831164e-06  7.90000000e-01  2.80549144e-01 
 2.69931164e-06  7.90000000e-01  2.80549165e-01 
 2.70031164e-06  7.90000000e-01  2.80549187e-01 
 2.70131164e-06  7.90000000e-01  2.80549208e-01 
 2.70231164e-06  7.90000000e-01  2.80549230e-01 
 2.70331164e-06  7.90000000e-01  2.80549251e-01 
 2.70431164e-06  7.90000000e-01  2.80549272e-01 
 2.70531164e-06  7.90000000e-01  2.80549293e-01 
 2.70631164e-06  7.90000000e-01  2.80549314e-01 
 2.70731164e-06  7.90000000e-01  2.80549334e-01 
 2.70831164e-06  7.90000000e-01  2.80549355e-01 
 2.70931164e-06  7.90000000e-01  2.80549375e-01 
 2.71031164e-06  7.90000000e-01  2.80549396e-01 
 2.71131164e-06  7.90000000e-01  2.80549416e-01 
 2.71231164e-06  7.90000000e-01  2.80549436e-01 
 2.71331164e-06  7.90000000e-01  2.80549456e-01 
 2.71431164e-06  7.90000000e-01  2.80549475e-01 
 2.71531164e-06  7.90000000e-01  2.80549495e-01 
 2.71631164e-06  7.90000000e-01  2.80549514e-01 
 2.71731164e-06  7.90000000e-01  2.80549534e-01 
