 frequency       H1magdB         H1delay         H2magdB         H2delay         H3magdB         H3delay         H4magdB         H4delay         H5magdB         H5delay        
 2.37137371e-01  0.00000000e+00  4.39075892e-01  0.00000000e+00  4.98979552e-01  0.00000000e+00  4.99994223e-01  0.00000000e+00  4.99999984e-01  0.00000000e+00  5.00000000e-01 
 2.39883292e-01  0.00000000e+00  4.37833253e-01 -9.64327467e-16  4.98932659e-01  0.00000000e+00  4.99993814e-01  0.00000000e+00  4.99999982e-01 -9.64327467e-16  5.00000000e-01 
 2.42661010e-01  0.00000000e+00  4.36568931e-01  0.00000000e+00  4.98883643e-01 -9.64327467e-16  4.99993376e-01 -9.64327467e-16  4.99999980e-01  0.00000000e+00  5.00000000e-01 
 2.45470892e-01  0.00000000e+00  4.35282697e-01  0.00000000e+00  4.98832407e-01 -9.64327467e-16  4.99992907e-01 -9.64327467e-16  4.99999978e-01 -9.64327467e-16  5.00000000e-01 
 2.48313311e-01  0.00000000e+00  4.33974326e-01  0.00000000e+00  4.98778855e-01  0.00000000e+00  4.99992405e-01  0.00000000e+00  4.99999976e-01  0.00000000e+00  5.00000000e-01 
 2.51188643e-01  0.00000000e+00  4.32643598e-01  0.00000000e+00  4.98722884e-01  0.00000000e+00  4.99991868e-01  0.00000000e+00  4.99999974e-01  0.00000000e+00  5.00000000e-01 
 2.54097271e-01  0.00000000e+00  4.31290296e-01 -9.64327467e-16  4.98664388e-01  0.00000000e+00  4.99991293e-01  0.00000000e+00  4.99999971e-01  0.00000000e+00  5.00000000e-01 
 2.57039578e-01  0.00000000e+00  4.29914209e-01  0.00000000e+00  4.98603255e-01  0.00000000e+00  4.99990677e-01  0.00000000e+00  4.99999969e-01  0.00000000e+00  5.00000000e-01 
 2.60015956e-01  0.00000000e+00  4.28515130e-01  0.00000000e+00  4.98539370e-01  0.00000000e+00  4.99990018e-01  0.00000000e+00  4.99999966e-01 -9.64327467e-16  5.00000000e-01 
 2.63026799e-01  0.00000000e+00  4.27092860e-01  0.00000000e+00  4.98472613e-01  0.00000000e+00  4.99989313e-01  0.00000000e+00  4.99999962e-01  0.00000000e+00  5.00000000e-01 
 2.66072506e-01  0.00000000e+00  4.25647203e-01  0.00000000e+00  4.98402857e-01  0.00000000e+00  4.99988557e-01  0.00000000e+00  4.99999959e-01  0.00000000e+00  5.00000000e-01 
 2.69153480e-01  0.00000000e+00  4.24177969e-01  0.00000000e+00  4.98329971e-01  0.00000000e+00  4.99987749e-01  0.00000000e+00  4.99999955e-01  0.00000000e+00  5.00000000e-01 
 2.72270131e-01  0.00000000e+00  4.22684978e-01  0.00000000e+00  4.98253821e-01 -9.64327467e-16  4.99986884e-01  0.00000000e+00  4.99999950e-01  0.00000000e+00  5.00000000e-01 
 2.75422870e-01  0.00000000e+00  4.21168052e-01  0.00000000e+00  4.98174263e-01  0.00000000e+00  4.99985958e-01  0.00000000e+00  4.99999946e-01  0.00000000e+00  5.00000000e-01 
 2.78612117e-01  0.00000000e+00  4.19627023e-01  0.00000000e+00  4.98091150e-01  0.00000000e+00  4.99984967e-01  0.00000000e+00  4.99999941e-01  0.00000000e+00  5.00000000e-01 
 2.81838293e-01  0.00000000e+00  4.18061732e-01  0.00000000e+00  4.98004328e-01  0.00000000e+00  4.99983907e-01 -9.64327467e-16  4.99999935e-01  0.00000000e+00  5.00000000e-01 
 2.85101827e-01  0.00000000e+00  4.16472025e-01  0.00000000e+00  4.97913636e-01  0.00000000e+00  4.99982772e-01  0.00000000e+00  4.99999929e-01  0.00000000e+00  5.00000000e-01 
 2.88403150e-01  0.00000000e+00  4.14857757e-01  0.00000000e+00  4.97818910e-01  0.00000000e+00  4.99981557e-01  0.00000000e+00  4.99999922e-01  0.00000000e+00  5.00000000e-01 
 2.91742701e-01  0.00000000e+00  4.13218793e-01  0.00000000e+00  4.97719974e-01  0.00000000e+00  4.99980257e-01  0.00000000e+00  4.99999914e-01  0.00000000e+00  5.00000000e-01 
 2.95120923e-01  0.00000000e+00  4.11555007e-01  0.00000000e+00  4.97616649e-01  0.00000000e+00  4.99978866e-01  0.00000000e+00  4.99999906e-01  0.00000000e+00  5.00000000e-01 
 2.98538262e-01  0.00000000e+00  4.09866280e-01  0.00000000e+00  4.97508747e-01  0.00000000e+00  4.99977378e-01  0.00000000e+00  4.99999897e-01  0.00000000e+00  5.00000000e-01 
 3.01995172e-01  0.00000000e+00  4.08152506e-01  0.00000000e+00  4.97396073e-01  0.00000000e+00  4.99975785e-01  0.00000000e+00  4.99999887e-01  0.00000000e+00  5.00000000e-01 
 3.05492111e-01  0.00000000e+00  4.06413588e-01  0.00000000e+00  4.97278424e-01  0.00000000e+00  4.99974081e-01  0.00000000e+00  4.99999876e-01  0.00000000e+00  5.00000000e-01 
 3.09029543e-01 -9.64327467e-16  4.04649440e-01  0.00000000e+00  4.97155589e-01  0.00000000e+00  4.99972258e-01  0.00000000e+00  4.99999865e-01  0.00000000e+00  5.00000000e-01 
 3.12607937e-01  0.00000000e+00  4.02859986e-01 -9.64327467e-16  4.97027349e-01  0.00000000e+00  4.99970307e-01  0.00000000e+00  4.99999852e-01  0.00000000e+00  5.00000000e-01 
 3.16227766e-01  0.00000000e+00  4.01045162e-01  0.00000000e+00  4.96893476e-01  0.00000000e+00  4.99968219e-01 -9.64327467e-16  4.99999838e-01  0.00000000e+00  5.00000000e-01 
 3.19889511e-01  0.00000000e+00  3.99204916e-01  0.00000000e+00  4.96753734e-01  0.00000000e+00  4.99965986e-01  0.00000000e+00  4.99999822e-01 -9.64327467e-16  4.99999999e-01 
 3.23593657e-01 -9.64327467e-16  3.97339209e-01 -9.64327467e-16  4.96607877e-01  0.00000000e+00  4.99963597e-01 -9.64327467e-16  4.99999805e-01  0.00000000e+00  4.99999999e-01 
 3.27340695e-01  0.00000000e+00  3.95448013e-01 -9.64327467e-16  4.96455649e-01  0.00000000e+00  4.99961042e-01  0.00000000e+00  4.99999786e-01  0.00000000e+00  4.99999999e-01 
 3.31131121e-01  0.00000000e+00  3.93531314e-01  0.00000000e+00  4.96296786e-01  0.00000000e+00  4.99958308e-01  0.00000000e+00  4.99999766e-01  0.00000000e+00  4.99999999e-01 
 3.34965439e-01  0.00000000e+00  3.91589111e-01  0.00000000e+00  4.96131012e-01 -9.64327467e-16  4.99955383e-01  0.00000000e+00  4.99999744e-01  0.00000000e+00  4.99999999e-01 
 3.38844156e-01  0.00000000e+00  3.89621416e-01  0.00000000e+00  4.95958043e-01  0.00000000e+00  4.99952255e-01 -9.64327467e-16  4.99999719e-01 -9.64327467e-16  4.99999999e-01 
 3.42767787e-01  0.00000000e+00  3.87628256e-01 -9.64327467e-16  4.95777581e-01  0.00000000e+00  4.99948910e-01  0.00000000e+00  4.99999692e-01  0.00000000e+00  4.99999999e-01 
 3.46736850e-01  0.00000000e+00  3.85609673e-01 -9.64327467e-16  4.95589321e-01  0.00000000e+00  4.99945331e-01  0.00000000e+00  4.99999663e-01  0.00000000e+00  4.99999999e-01 
 3.50751874e-01  0.00000000e+00  3.83565721e-01  0.00000000e+00  4.95392942e-01 -9.64327467e-16  4.99941504e-01  0.00000000e+00  4.99999631e-01  0.00000000e+00  4.99999999e-01 
 3.54813389e-01  0.00000000e+00  3.81496473e-01 -9.64327467e-16  4.95188117e-01  0.00000000e+00  4.99937411e-01 -9.64327467e-16  4.99999596e-01  0.00000000e+00  4.99999998e-01 
 3.58921935e-01  0.00000000e+00  3.79402013e-01  0.00000000e+00  4.94974502e-01  0.00000000e+00  4.99933034e-01  0.00000000e+00  4.99999557e-01  0.00000000e+00  4.99999998e-01 
 3.63078055e-01  0.00000000e+00  3.77282443e-01  0.00000000e+00  4.94751742e-01  0.00000000e+00  4.99928353e-01  0.00000000e+00  4.99999515e-01  0.00000000e+00  4.99999998e-01 
 3.67282300e-01  0.00000000e+00  3.75137882e-01  0.00000000e+00  4.94519472e-01  0.00000000e+00  4.99923348e-01  0.00000000e+00  4.99999469e-01  0.00000000e+00  4.99999998e-01 
 3.71535229e-01  0.00000000e+00  3.72968463e-01  0.00000000e+00  4.94277312e-01  0.00000000e+00  4.99917997e-01  0.00000000e+00  4.99999418e-01  0.00000000e+00  4.99999998e-01 
 3.75837404e-01  0.00000000e+00  3.70774336e-01 -9.64327467e-16  4.94024867e-01  0.00000000e+00  4.99912275e-01  0.00000000e+00  4.99999363e-01  0.00000000e+00  4.99999997e-01 
 3.80189396e-01  0.00000000e+00  3.68555669e-01  0.00000000e+00  4.93761731e-01 -9.64327467e-16  4.99906158e-01 -9.64327467e-16  4.99999302e-01 -9.64327467e-16  4.99999997e-01 
 3.84591782e-01 -9.64327467e-16  3.66312645e-01  0.00000000e+00  4.93487484e-01  0.00000000e+00  4.99899618e-01 -9.64327467e-16  4.99999236e-01  0.00000000e+00  4.99999997e-01 
 3.89045145e-01  0.00000000e+00  3.64045465e-01 -9.64327467e-16  4.93201690e-01  0.00000000e+00  4.99892626e-01 -9.64327467e-16  4.99999163e-01  0.00000000e+00  4.99999996e-01 
 3.93550075e-01  0.00000000e+00  3.61754348e-01  0.00000000e+00  4.92903901e-01  0.00000000e+00  4.99885153e-01  0.00000000e+00  4.99999083e-01  0.00000000e+00  4.99999996e-01 
 3.98107171e-01  0.00000000e+00  3.59439530e-01  0.00000000e+00  4.92593651e-01  0.00000000e+00  4.99877164e-01  0.00000000e+00  4.99998996e-01  0.00000000e+00  4.99999995e-01 
 4.02717034e-01  0.00000000e+00  3.57101263e-01 -9.64327467e-16  4.92270461e-01  0.00000000e+00  4.99868626e-01  0.00000000e+00  4.99998901e-01  0.00000000e+00  4.99999994e-01 
 4.07380278e-01  0.00000000e+00  3.54739818e-01  0.00000000e+00  4.91933836e-01  0.00000000e+00  4.99859501e-01  0.00000000e+00  4.99998796e-01  0.00000000e+00  4.99999994e-01 
 4.12097519e-01  0.00000000e+00  3.52355486e-01 -9.64327467e-16  4.91583265e-01  0.00000000e+00  4.99849748e-01 -9.64327467e-16  4.99998682e-01  0.00000000e+00  4.99999993e-01 
 4.16869383e-01 -9.64327467e-16  3.49948572e-01  0.00000000e+00  4.91218222e-01  0.00000000e+00  4.99839327e-01  0.00000000e+00  4.99998557e-01 -9.64327467e-16  4.99999992e-01 
 4.21696503e-01  0.00000000e+00  3.47519401e-01  0.00000000e+00  4.90838164e-01 -9.64327467e-16  4.99828191e-01 -9.64327467e-16  4.99998420e-01  0.00000000e+00  4.99999991e-01 
 4.26579519e-01 -9.64327467e-16  3.45068316e-01  0.00000000e+00  4.90442532e-01  0.00000000e+00  4.99816292e-01 -9.64327467e-16  4.99998270e-01  0.00000000e+00  4.99999990e-01 
 4.31519077e-01  0.00000000e+00  3.42595676e-01  0.00000000e+00  4.90030749e-01  0.00000000e+00  4.99803579e-01 -9.64327467e-16  4.99998106e-01  0.00000000e+00  4.99999989e-01 
 4.36515832e-01  0.00000000e+00  3.40101862e-01  0.00000000e+00  4.89602222e-01  0.00000000e+00  4.99789997e-01  0.00000000e+00  4.99997927e-01  0.00000000e+00  4.99999988e-01 
 4.41570447e-01  0.00000000e+00  3.37587269e-01  0.00000000e+00  4.89156343e-01  0.00000000e+00  4.99775489e-01 -9.64327467e-16  4.99997730e-01  0.00000000e+00  4.99999986e-01 
 4.46683592e-01  0.00000000e+00  3.35052310e-01 -9.64327467e-16  4.88692482e-01  0.00000000e+00  4.99759991e-01 -9.64327467e-16  4.99997515e-01 -9.64327467e-16  4.99999985e-01 
