 frequency       Youtmag         Youtphdeg      
 1.41011240e+06  1.07494397e-04  5.56442959e+01 
 1.42635903e+06  1.08340135e-04  5.59494857e+01 
 1.44279285e+06  1.09196643e-04  5.62526542e+01 
 1.45941600e+06  1.10068594e-04  5.65553710e+01 
 1.47623069e+06  1.10954486e-04  5.68570026e+01 
 1.49323910e+06  1.11851229e-04  5.71564352e+01 
 1.51044348e+06  1.12761969e-04  5.74546613e+01 
 1.52784607e+06  1.13686742e-04  5.77516074e+01 
 1.54544917e+06  1.14625582e-04  5.80472033e+01 
 1.56325509e+06  1.15580107e-04  5.83418662e+01 
 1.58126615e+06  1.16542410e-04  5.86331245e+01 
 1.59948473e+06  1.17525224e-04  5.89247617e+01 
 1.61791322e+06  1.18519032e-04  5.92138589e+01 
 1.63655403e+06  1.19527042e-04  5.95013134e+01 
 1.65540961e+06  1.20550887e-04  5.97875173e+01 
 1.67448244e+06  1.21592218e-04  6.00728352e+01 
 1.69377501e+06  1.22642988e-04  6.03550225e+01 
 1.71328986e+06  1.23714538e-04  6.06370625e+01 
 1.73302956e+06  1.24800430e-04  6.09171619e+01 
 1.75299668e+06  1.25897413e-04  6.11944651e+01 
 1.77319386e+06  1.27013658e-04  6.14709847e+01 
 1.79362374e+06  1.28144296e-04  6.17454402e+01 
 1.81428900e+06  1.29292626e-04  6.20185748e+01 
 1.83519236e+06  1.30455385e-04  6.22895574e+01 
 1.85633655e+06  1.31634236e-04  6.25587356e+01 
 1.87772436e+06  1.32830853e-04  6.28264323e+01 
 1.89935859e+06  1.34041945e-04  6.30918657e+01 
 1.92124208e+06  1.35272511e-04  6.33560785e+01 
 1.94337770e+06  1.36517581e-04  6.36179540e+01 
 1.96576835e+06  1.37782176e-04  6.38785013e+01 
 1.98841698e+06  1.39064652e-04  6.41373175e+01 
 2.01132655e+06  1.40361672e-04  6.43936989e+01 
 2.03450008e+06  1.41679967e-04  6.46489287e+01 
 2.05794060e+06  1.43014516e-04  6.49019802e+01 
 2.08165120e+06  1.44367014e-04  6.51531438e+01 
 2.10563497e+06  1.45739171e-04  6.54026888e+01 
 2.12989507e+06  1.47127617e-04  6.56499669e+01 
 2.15443469e+06  1.48537454e-04  6.58958451e+01 
 2.17925704e+06  1.49963602e-04  6.61393986e+01 
 2.20436538e+06  1.51409475e-04  6.63811835e+01 
 2.22976301e+06  1.52878510e-04  6.66217145e+01 
 2.25545326e+06  1.54357039e-04  6.68587498e+01 
 2.28143949e+06  1.55865612e-04  6.70955478e+01 
